Feature,Importance
LineOfCode,2527
NoOfExternalRef,1151
NoOfOtherSpecialCharsInURL,1059
LargestLineLength,951
NoOfSelfRef,934
URLSimilarityIndex,885
NoOfImage,884
URLLength,758
IsHTTPS,722
LetterRatioInURL,602
HasDescription,532
NoOfJS,530
NoOfSubDomain,508
SpacialCharRatioInURL,457
NoOfLettersInURL,438
NoOfCSS,381
DomainTitleMatchScore,369
CharContinuationRate,367
URLCharProb,330
HasCopyrightInfo,310
NoOfDegitsInURL,253
HasSocialNet,236
DegitRatioInURL,168
DomainLength,157
TLDLegitimateProb,148
NoOfEmptyRef,107
Bank,53
URLTitleMatchScore,52
IsResponsive,52
TLDLength,44
NoOfiFrame,42
HasFavicon,41
Crypto,40
HasHiddenFields,22
HasPasswordField,20
HasSubmitButton,19
Pay,18
NoOfPopup,17
HasTitle,17
NoOfURLRedirect,15
Robots,9
NoOfEqualsInURL,7
NoOfQMarkInURL,1
NoOfObfuscatedChar,0
IsDomainIP,0
HasObfuscation,0
ObfuscationRatio,0
NoOfAmpersandInURL,0
NoOfSelfRedirect,0
HasExternalFormSubmit,0
