iter	Passed	Remaining
0	219	328666
1	293	220187
2	324	162015
3	342	127961
4	417	124761
5	488	121638
6	572	122141
7	664	123853
8	742	123083
9	814	121428
10	889	120369
11	966	119845
12	1042	119262
13	1113	118216
14	1189	117765
15	1264	117286
16	1341	117015
17	1414	116442
18	1487	115971
19	1561	115553
20	1636	115273
21	1720	115602
22	1806	116004
23	1890	116262
24	1966	116016
25	2039	115637
26	2113	115307
27	2148	112937
28	2227	113001
29	2265	111033
30	2339	110883
31	2425	111258
32	2500	111147
33	2574	111006
34	2649	110902
35	2729	110991
36	2802	110800
37	2875	110614
38	2958	110814
39	3041	111016
40	3125	111229
41	3200	111090
42	3284	111291
43	3361	111219
44	3460	111904
45	3537	111803
46	3609	111573
47	3682	111395
48	3763	111446
49	3840	111373
50	3913	111187
51	3988	111074
52	4064	110955
53	4157	111323
54	4254	111778
55	4340	111917
56	4428	112104
57	4513	112224
58	4585	111988
59	4661	111886
60	4742	111880
61	4820	111801
62	4892	111585
63	4966	111429
64	5040	111270
65	5117	111181
66	5190	111023
67	5265	110882
68	5341	110781
69	5429	110910
70	5528	111261
71	5631	111694
72	5705	111532
73	5785	111484
74	5862	111379
75	5934	111185
76	6008	111045
77	6083	110909
78	6160	110808
79	6232	110619
80	6306	110475
81	6382	110371
82	6456	110223
83	6531	110104
84	6610	110045
85	6704	110237
86	6789	110269
87	6862	110112
88	6937	109982
89	7009	109810
90	7084	109695
91	7159	109574
92	7231	109402
93	7304	109255
94	7376	109101
95	7456	109045
96	7532	108955
97	7606	108823
98	7682	108714
99	7754	108565
100	7836	108550
101	7923	108595
102	8008	108616
103	8083	108507
104	8155	108345
105	8227	108205
106	8302	108087
107	8374	107937
108	8446	107792
109	8524	107717
110	8598	107601
111	8671	107468
112	8746	107357
113	8829	107349
114	8903	107233
115	8976	107096
116	9081	107345
117	9202	107774
118	9299	107926
119	9380	107870
120	9461	107831
121	9546	107833
122	9624	107748
123	9701	107658
124	9778	107558
125	9865	107583
126	9941	107473
127	10017	107376
128	10096	107301
129	10172	107204
130	10269	107319
131	10363	107400
132	10456	107477
133	10557	107625
134	10659	107778
135	10756	107880
136	10856	108011
137	10937	107946
138	11008	107791
139	11083	107664
140	11159	107561
141	11231	107406
142	11304	107275
143	11382	107183
144	11456	107059
145	11533	106959
146	11626	107007
147	11708	106958
148	11781	106825
149	11855	106699
150	11932	106604
151	12005	106468
152	12080	106356
153	12159	106280
154	12231	106139
155	12311	106065
156	12411	106169
157	12508	106242
158	12590	106185
159	12680	106197
160	12765	106165
161	12851	106146
162	12941	106155
163	13035	106193
164	13123	106183
165	13216	106207
166	13306	106212
167	13398	106231
168	13489	106236
169	13575	106204
170	13671	106253
171	13770	106322
172	13881	106475
173	14014	106802
174	14135	107027
175	14226	107020
176	14306	106935
177	14390	106879
178	14472	106805
179	14551	106708
180	14635	106656
181	14718	106588
182	14791	106447
183	14864	106316
184	14939	106189
185	15016	106081
186	15090	105956
187	15114	105478
188	15192	105386
189	15279	105351
190	15366	105312
191	15442	105201
192	15516	105077
193	15605	105054
194	15692	105015
195	15769	104913
196	15849	104832
197	15938	104806
198	16024	104763
199	16107	104700
200	16195	104669
201	16282	104625
202	16368	104578
203	16466	104611
204	16622	105008
205	16722	105046
206	16813	105024
207	16896	104950
208	16981	104896
209	17075	104889
210	17168	104882
211	17264	104887
212	17364	104921
213	17461	104932
214	17551	104898
215	17657	104963
216	17755	104978
217	17862	105045
218	17939	104933
219	18021	104852
220	18112	104824
221	18194	104740
222	18278	104670
223	18361	104592
224	18437	104480
225	18520	104404
226	18595	104282
227	18676	104195
228	18783	104254
229	18921	104480
230	19048	104643
231	19157	104708
232	19244	104646
233	19337	104622
234	19435	104621
235	19531	104609
236	19622	104573
237	19716	104547
238	19803	104487
239	19890	104424
240	19968	104314
241	20048	104219
242	20131	104135
243	20226	104114
244	20320	104091
245	20409	104036
246	20496	103977
247	20584	103916
248	20661	103804
249	20746	103730
250	20838	103696
251	20923	103621
252	21011	103563
253	21108	103546
254	21209	103553
255	21251	103270
256	21425	103625
257	21530	103647
258	21623	103608
259	21702	103504
260	21793	103458
261	21882	103397
262	21972	103346
263	22052	103248
264	22148	103222
265	22249	103217
266	22338	103157
267	22426	103096
268	22515	103035
269	22605	102981
270	22718	103029
271	22870	103253
272	22964	103212
273	23061	103187
274	23150	103125
275	23234	103040
276	23323	102976
277	23401	102863
278	23472	102721
279	23544	102587
280	23629	102507
281	23717	102439
282	23802	102359
283	23886	102275
284	23977	102221
285	24076	102200
286	24165	102134
287	24247	102041
288	24333	101966
289	24406	101835
290	24484	101724
291	24532	101490
292	24617	101409
293	24699	101318
294	24772	101190
295	24851	101086
296	24976	101165
297	25058	101073
298	25135	100963
299	25215	100863
300	25313	100833
301	25381	100684
302	25460	100580
303	25535	100463
304	25611	100345
305	25700	100282
306	25792	100227
307	25877	100149
308	25964	100078
309	26044	99979
310	26134	99916
311	26218	99833
312	26309	99774
313	26412	99761
314	26512	99736
315	26697	100031
316	26848	100196
317	26940	100138
318	27024	100049
319	27100	99931
320	27177	99818
321	27270	99767
322	27361	99703
323	27445	99618
324	27539	99567
325	27665	99631
326	27780	99651
327	27896	99680
328	28010	99696
329	28098	99621
330	28181	99527
331	28261	99425
332	28312	99221
333	28396	99132
334	28478	99037
335	28558	98935
336	28643	98849
337	28720	98738
338	28795	98618
339	28891	98572
340	28999	98565
341	29082	98473
342	29184	98444
343	29293	98438
344	29424	98507
345	29535	98508
346	29642	98494
347	29724	98398
348	29807	98304
349	29887	98200
350	29970	98109
351	30055	98022
352	30147	97957
353	30249	97926
354	30327	97817
355	30408	97716
356	30496	97641
357	30574	97530
358	30657	97437
359	30684	97167
360	30753	97032
361	30823	96898
362	30896	96775
363	30968	96650
364	31043	96533
365	31129	96450
366	31210	96353
367	31288	96245
368	31382	96189
369	31469	96109
370	31558	96036
371	31629	95909
372	31711	95815
